filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
0,155.3380937576294,1687.0,21,24,0.875,0.8245356793743891,0.8785550993833765
1,155.33809304237366,1666.0,21,24,0.875,0.8142717497556208,0.8676187368415507
2,153.33809399604797,1650.0,21,24,0.875,0.832282471626734,0.8818479039005437
3,153.6812391281128,1637.0,21,24,0.875,0.8000977517106549,0.8709973552411149
4,155.33809280395508,1669.0,21,24,0.875,0.8157380254154448,0.869181078171432
5,149.78174459934235,1585.5,21,23,0.9130434782608695,0.7876304023845008,0.8880927830332646
6,155.3380925655365,1654.0,21,24,0.875,0.8208436724565756,0.8613693874826773
7,155.92387998104095,1663.5,21,24,0.875,0.8130498533724341,0.8598197229197944
8,155.3380937576294,1655.0,21,24,0.875,0.8088954056695992,0.8618901538111963
9,153.68123936653137,1655.0,21,24,0.875,0.8088954056695992,0.8805745989318289
10,155.33809304237366,1655.0,21,24,0.875,0.8088954056695992,0.8618901617483592
11,154.50966572761536,1646.0,21,24,0.875,0.804496578690127,0.8664198408324404
12,153.68123936653137,1627.0,21,24,0.875,0.8074441687344913,0.8656766600979369
13,149.78174364566803,1549.5,20,23,0.8695652173913043,0.7815889029003783,0.8679279626827842
14,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
15,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
16,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
17,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
18,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
19,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
20,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
21,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
22,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
23,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
24,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
25,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
26,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
27,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
28,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
29,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
30,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
31,149.68123924732208,1571.0,20,23,0.8695652173913043,0.8182291666666667,0.8811529687851498
