filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
0,333.3452351093292,6388.5,30,62,0.4838709677419355,0.8296753246753247,0.7224707349983365
1,329.6883815526962,6294.5,30,62,0.4838709677419355,0.826863711001642,0.7277191720876112
2,331.9310222864151,6341.0,30,62,0.4838709677419355,0.8255948568139277,0.7232225022172867
3,331.10259449481964,6354.0,30,62,0.4838709677419355,0.834679802955665,0.7283362181968666
4,329.44574189186096,6271.0,30,62,0.4838709677419355,0.824989529454992,0.7260706264761535
5,328.27416706085205,6223.0,29,62,0.46774193548387094,0.8221693750825737,0.7256651203547185
6,331.9310187101364,6328.0,30,62,0.4838709677419355,0.8312643678160919,0.7217398032878124
7,332.8599534034729,6279.5,29,62,0.46774193548387094,0.8333541422958869,0.7122161751184932
8,332.85995411872864,6294.5,29,62,0.46774193548387094,0.8243514470788125,0.7139174607877783
9,332.516805768013,6286.5,30,62,0.4838709677419355,0.8213078541049598,0.714482480425509
10,333.6883819103241,6262.5,30,62,0.4838709677419355,0.8176416950617345,0.7067656450818415
11,329.2030985355377,6100.5,29,62,0.46774193548387094,0.8192117604126622,0.7073713516154267
12,327.54624330997467,6089.5,28,62,0.45161290322580644,0.8375555429580112,0.7132573459973106
13,328.6173131465912,6110.0,29,62,0.46774193548387094,0.8166265704357124,0.7110009702852164
14,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
15,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
16,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
17,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
18,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
19,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
20,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
21,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
22,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
23,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
24,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
25,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
26,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
27,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
28,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
29,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
30,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
31,332.6173115968704,6203.0,29,62,0.46774193548387094,0.8175269419758141,0.7045664305629684
