filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.9976060422038366,0.9941282204913121,1.0,1.0,1.0,0.9972459595735077,0.9989051693675647
2,1.003393697208643,0.9978302796528448,1.0,1.0,1.0,0.9978302796528447,0.9910919332134056
3,0.9908439767470937,0.9952887170814206,1.0,0.9743589743589743,1.0263157894736843,1.00902128981793,1.0137678949575164
4,1.0009997838422162,0.9942954242019663,1.0,1.0,1.0,0.9934608171145354,0.9923102408301746
5,0.9931798739981214,0.997314453125,1.0,1.0,1.0,0.9996073405729924,1.0110585175997242
6,1.0010056424086717,0.9881272949816401,1.0,1.0,1.0,0.9984696465991401,0.9861428834696648
7,1.0,0.9967793880837359,0.9696969696969697,1.0,0.9696969696969696,1.0009335005691107,0.996779388083736
8,0.9892937787464582,0.9949049335155958,1.0,1.0,1.0,1.0079475290665585,1.0165553456089331
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
